Type	Obj	FriendlyName
Cell	B_cells	B_cells
Cell	T_cells_CD4	T_cells_CD4
Cell	T_cells_CD8	T_cells_CD8
Cell	Dendritic_cells	Dendritic_cells
Cell	Eosinophils	Eosinophils
Cell	Macrophage	Macrophage
Cell	Mast_cells	Mast_cells
Cell	NK_cells	NK_cells
Cell	Neutrophils	Neutrophils
Receptor	ADORA2A	ADORA2A
Receptor	ICOS	ICOS
Receptor	KIR2DL2	KIR2DL2
Ligand	A2M	A2M
Ligand	AANAT	AANAT
Ligand	ACE	ACE
Ligand	ADAM10	ADAM10
Ligand	ADAM12	ADAM12
Ligand	ADAM15	ADAM15
Ligand	ADAM17	ADAM17
Ligand	ADAM2	ADAM2
Ligand	ADAM23	ADAM23
Ligand	ADAM28	ADAM28
Ligand	ADAM9	ADAM9
Ligand	ADCYAP1	ADCYAP1
Ligand	ADIPOQ	ADIPOQ
Ligand	ADM	ADM
Ligand	ADM2	ADM2
Ligand	AGRN	AGRN
Ligand	AGRP	AGRP
Ligand	AGT	AGT
Ligand	AHSG	AHSG
Ligand	ALB	ALB
Ligand	AMELX	AMELX
Ligand	AMELY	AMELY
Ligand	AMH	AMH
Ligand	ANGPT1	ANGPT1
Ligand	ANGPT2	ANGPT2
Ligand	ANGPT4	ANGPT4
Ligand	ANGPTL1	ANGPTL1
Ligand	ANGPTL3	ANGPTL3
Ligand	ANXA1	ANXA1
Ligand	APLN	APLN
Ligand	APOB	APOB
Ligand	APOD	APOD
Ligand	APOE	APOE
Ligand	APP	APP
Ligand	AREG	AREG
Ligand	AREGB	AREGB
Ligand	ARF1	ARF1
Ligand	ARTN	ARTN
Ligand	ASIP	ASIP
Ligand	AVP	AVP
Ligand	AZGP1	AZGP1
Ligand	B2M	B2M
Ligand	BDNF	BDNF
Ligand	BGN	BGN
Ligand	BMP10	BMP10
Ligand	BMP15	BMP15
Ligand	BMP2	BMP2
Ligand	BMP3	BMP3
Ligand	BMP4	BMP4
Ligand	BMP5	BMP5
Ligand	BMP6	BMP6
Ligand	BMP7	BMP7
Ligand	BST1	BST1
Ligand	BTC	BTC
Ligand	BTLA	BTLA
Ligand	C1QA	C1QA
Ligand	C1QB	C1QB
Ligand	C1QTNF1	C1QTNF1
Ligand	C1QTNF5	C1QTNF5
Ligand	C3	C3
Ligand	C4A	C4A
Ligand	C4B	C4B
Ligand	C4BPA	C4BPA
Ligand	C5	C5
Ligand	C5orf55	C5orf55
Ligand	CALCA	CALCA
Ligand	CALCB	CALCB
Ligand	CALR	CALR
Ligand	CAMP	CAMP
Ligand	CCK	CCK
Ligand	CCL1	CCL1
Ligand	CCL11	CCL11
Ligand	CCL13	CCL13
Ligand	CCL14	CCL14
Ligand	CCL15	CCL15
Ligand	CCL16	CCL16
Ligand	CCL17	CCL17
Ligand	CCL18	CCL18
Ligand	CCL19	CCL19
Ligand	CCL2	CCL2
Ligand	CCL20	CCL20
Ligand	CCL21	CCL21
Ligand	CCL22	CCL22
Ligand	CCL23	CCL23
Ligand	CCL24	CCL24
Ligand	CCL25	CCL25
Ligand	CCL26	CCL26
Ligand	CCL27	CCL27
Ligand	CCL28	CCL28
Ligand	CCL3	CCL3
Ligand	CCL3L1	CCL3L1
Ligand	CCL3L3	CCL3L3
Ligand	CCL4	CCL4
Ligand	CCL5	CCL5 (RANTES)
Ligand	CCL7	CCL7
Ligand	CCL8	CCL8
Ligand	CD14	CD14
Ligand	CD24	CD24
Ligand	CD274	CD274 (PD-L1)
Ligand	CD276	CD276 (B7-H3)
Ligand	CD34	CD34
Ligand	CD40LG	CD40LG
Ligand	CD55	CD55
Ligand	CD5L	CD5L
Ligand	CD70	CD70
Ligand	CD80	CD80 (B7-1)
Ligand	CDH1	CDH1
Ligand	CEL	CEL
Ligand	CFH	CFH
Ligand	CGA	CGA
Ligand	CGB	CGB
Ligand	CGN	CGN
Ligand	CHAD	CHAD
Ligand	CLCF1	CLCF1
Ligand	CNTF	CNTF
Ligand	CNTN2	CNTN2
Ligand	CNTN4	CNTN4
Ligand	COL11A1	COL11A1
Ligand	COL14A1	COL14A1
Ligand	COL18A1	COL18A1
Ligand	COL1A1	COL1A1
Ligand	COL1A2	COL1A2
Ligand	COL2A1	COL2A1
Ligand	COL3A1	COL3A1
Ligand	COL4A1	COL4A1
Ligand	COL4A2	COL4A2
Ligand	COL4A3	COL4A3
Ligand	COL4A4	COL4A4
Ligand	COL4A5	COL4A5
Ligand	COL4A6	COL4A6
Ligand	COL5A1	COL5A1
Ligand	COL5A2	COL5A2
Ligand	COL5A3	COL5A3
Ligand	COL8A1	COL8A1
Ligand	COL9A1	COL9A1
Ligand	COL9A2	COL9A2
Ligand	COL9A3	COL9A3
Ligand	COLQ	COLQ
Ligand	CORT	CORT
Ligand	CP	CP
Ligand	CPAMD8	CPAMD8
Ligand	CRH	CRH
Ligand	CRP	CRP
Ligand	CSF1	CSF1
Ligand	CSF2	CSF2
Ligand	CSF3	CSF3
Ligand	CSH1	CSH1
Ligand	CSH2	CSH2
Ligand	CSHL1	CSHL1
Ligand	CTF1	CTF1
Ligand	CTGF	CTGF
Ligand	CTHRC1	CTHRC1
Ligand	CUBN	CUBN
Ligand	CX3CL1	CX3CL1
Ligand	CXCL1	CXCL1
Ligand	CXCL10	CXCL10 (IP-10)
Ligand	CXCL11	CXCL11
Ligand	CXCL12	CXCL12
Ligand	CXCL13	CXCL13
Ligand	CXCL16	CXCL16
Ligand	CXCL2	CXCL2
Ligand	CXCL3	CXCL3
Ligand	CXCL5	CXCL5
Ligand	CXCL6	CXCL6
Ligand	CXCL9	CXCL9
Ligand	CYR61	CYR61
Ligand	DCN	DCN
Ligand	DEFB1	DEFB1
Ligand	DEFB103A	DEFB103A
Ligand	DEFB103B	DEFB103B
Ligand	DEFB4A	DEFB4A
Ligand	DEFB4B	DEFB4B
Ligand	DHH	DHH
Ligand	DKK1	DKK1
Ligand	DKK2	DKK2
Ligand	DLK1	DLK1
Ligand	DLK2	DLK2
Ligand	DLL1	DLL1
Ligand	DLL4	DLL4
Ligand	EBI3	EBI3
Ligand	EDA	EDA
Ligand	EDIL3	EDIL3
Ligand	EDN1	EDN1
Ligand	EDN2	EDN2
Ligand	EDN3	EDN3
Ligand	EFEMP1	EFEMP1
Ligand	EFEMP2	EFEMP2
Ligand	EFNA1	EFNA1
Ligand	EFNA2	EFNA2
Ligand	EFNA3	EFNA3
Ligand	EFNA4	EFNA4
Ligand	EFNA5	EFNA5
Ligand	EFNB1	EFNB1
Ligand	EFNB2	EFNB2
Ligand	EFNB3	EFNB3
Ligand	EGF	EGF
Ligand	EPGN	EPGN
Ligand	EPO	EPO
Ligand	EREG	EREG
Ligand	F10	F10
Ligand	F11	F11
Ligand	F12	F12
Ligand	F13A1	F13A1
Ligand	F2	F2
Ligand	F7	F7
Ligand	F8	F8
Ligand	F9	F9
Ligand	FASLG	FASLG
Ligand	FAT4	FAT4
Ligand	FBLN1	FBLN1
Ligand	FBLN2	FBLN2
Ligand	FBN1	FBN1
Ligand	FCN2	FCN2
Ligand	FGA	FGA
Ligand	FGB	FGB
Ligand	FGF1	FGF1
Ligand	FGF10	FGF10
Ligand	FGF13	FGF13
Ligand	FGF16	FGF16
Ligand	FGF17	FGF17
Ligand	FGF18	FGF18
Ligand	FGF19	FGF19
Ligand	FGF2	FGF2
Ligand	FGF20	FGF20
Ligand	FGF21	FGF21
Ligand	FGF22	FGF22
Ligand	FGF23	FGF23
Ligand	FGF3	FGF3
Ligand	FGF4	FGF4
Ligand	FGF5	FGF5
Ligand	FGF6	FGF6
Ligand	FGF7	FGF7
Ligand	FGF8	FGF8
Ligand	FGF9	FGF9
Ligand	FGG	FGG
Ligand	FGL1	FGL1
Ligand	FIGF	FIGF
Ligand	FLT3LG	FLT3LG
Ligand	FN1	FN1
Ligand	FSHB	FSHB
Ligand	GAL	GAL
Ligand	GALP	GALP
Ligand	GAS6	GAS6
Ligand	GAST	GAST
Ligand	GCG	GCG
Ligand	GDF11	GDF11
Ligand	GDF2	GDF2
Ligand	GDF5	GDF5
Ligand	GDF6	GDF6
Ligand	GDF7	GDF7
Ligand	GDF9	GDF9
Ligand	GDNF	GDNF
Ligand	GH1	GH1
Ligand	GH2	GH2
Ligand	GHRH	GHRH
Ligand	GHRL	GHRL
Ligand	GIP	GIP
Ligand	GNAI2	GNAI2
Ligand	GNAS	GNAS
Ligand	GNB3	GNB3
Ligand	GNRH1	GNRH1
Ligand	GNRH2	GNRH2
Ligand	GPC3	GPC3
Ligand	GPHA2	GPHA2
Ligand	GPI	GPI
Ligand	GRP	GRP
Ligand	GSTP1	GSTP1
Ligand	GUCA2A	GUCA2A
Ligand	GUCA2B	GUCA2B
Ligand	GZMB	GZMB
Ligand	HAS2	HAS2
Ligand	HBEGF	HBEGF
Ligand	HCRT	HCRT
Ligand	HEBP1	HEBP1
Ligand	HGF	HGF
Ligand	HLA-A	HLA-A
Ligand	HLA-B	HLA-B
Ligand	HLA-C	HLA-C
Ligand	HLA-DRB1	HLA-DRB1
Ligand	HLA-E	HLA-E
Ligand	HLA-G	HLA-G
Ligand	HMGB1	HMGB1
Ligand	HP	HP
Ligand	HRAS	HRAS
Ligand	HRG	HRG
Ligand	HSP90AA1	HSP90AA1
Ligand	HSPG2	HSPG2
Ligand	IAPP	IAPP
Ligand	ICAM1	ICAM1
Ligand	ICAM2	ICAM2
Ligand	ICAM3	ICAM3
Ligand	ICAM4	ICAM4
Ligand	ICAM5	ICAM5
Ligand	IFNA1	IFNA1
Ligand	IFNA10	IFNA10
Ligand	IFNA13	IFNA13
Ligand	IFNA14	IFNA14
Ligand	IFNA16	IFNA16
Ligand	IFNA17	IFNA17
Ligand	IFNA2	IFNA2
Ligand	IFNA21	IFNA21
Ligand	IFNA4	IFNA4
Ligand	IFNA5	IFNA5
Ligand	IFNA6	IFNA6
Ligand	IFNA7	IFNA7
Ligand	IFNA8	IFNA8
Ligand	IFNB1	IFNB1
Ligand	IFNG	IFNG
Ligand	IFNL1	IFNL1
Ligand	IFNL2	IFNL2
Ligand	IFNL3	IFNL3
Ligand	IFNW1	IFNW1
Ligand	IGF1	IGF1
Ligand	IGF2	IGF2
Ligand	IGFBP4	IGFBP4
Ligand	IGFL1	IGFL1
Ligand	IGFL2	IGFL2
Ligand	IGFL3	IGFL3
Ligand	IHH	IHH
Ligand	IL10	IL10
Ligand	IL11	IL11
Ligand	IL12A	IL12
Ligand	IL12B	IL12B
Ligand	IL13	IL13
Ligand	IL15	IL15
Ligand	IL16	IL16
Ligand	IL17A	IL17A
Ligand	IL17B	IL17B
Ligand	IL17F	IL17F
Ligand	IL18	IL18
Ligand	IL19	IL19
Ligand	IL1A	IL1A
Ligand	IL1B	IL1B
Ligand	IL1F10	IL1F10
Ligand	IL1RN	IL1RN
Ligand	IL2	IL2
Ligand	IL20	IL20
Ligand	IL21	IL21
Ligand	IL22	IL22
Ligand	IL23A	IL23A
Ligand	IL24	IL24
Ligand	IL25	IL25
Ligand	IL27	IL27
Ligand	IL3	IL3
Ligand	IL31	IL31
Ligand	IL34	IL34
Ligand	IL4	IL4
Ligand	IL5	IL5
Ligand	IL6	IL6
Ligand	IL7	IL7
Ligand	IL8	IL8
Ligand	IL9	IL9
Ligand	INHA	INHA
Ligand	INHBA	INHBA
Ligand	INHBB	INHBB
Ligand	INHBC	INHBC
Ligand	INS	INS
Ligand	INSL3	INSL3
Ligand	INSL5	INSL5
Ligand	ITGB3BP	ITGB3BP
Ligand	ITIH2	ITIH2
Ligand	JAG1	JAG1
Ligand	JAG2	JAG2
Ligand	KAL1	KAL1
Ligand	KISS1	KISS1
Ligand	KITLG	KITLG
Ligand	KLK3	KLK3
Ligand	KNG1	KNG1
Ligand	KRTAP4-12	KRTAP4-12
Ligand	L1CAM	L1CAM
Ligand	LACRT	LACRT
Ligand	LAMA1	LAMA1
Ligand	LAMA2	LAMA2
Ligand	LAMA3	LAMA3
Ligand	LAMA5	LAMA5
Ligand	LAMB1	LAMB1
Ligand	LAMB2	LAMB2
Ligand	LAMC2	LAMC2
Ligand	LCN1	LCN1
Ligand	LCN2	LCN2
Ligand	LEFTY2	LEFTY2
Ligand	LEP	LEP
Ligand	LGALS3BP	LGALS3BP
Ligand	LGALS9	LGALS9
Ligand	LHB	LHB
Ligand	LIF	LIF
Ligand	LIN7C	LIN7C
Ligand	LIPC	LIPC
Ligand	LIPH	LIPH
Ligand	LPA	LPA
Ligand	LPL	LPL
Ligand	LRP1B	LRP1B
Ligand	LRPAP1	LRPAP1
Ligand	LTA	LTA
Ligand	LTB	LTB
Ligand	LTBP1	LTBP1
Ligand	LTBP3	LTBP3
Ligand	LTF	LTF
Ligand	LY86	LY86
Ligand	MADCAM1	MADCAM1
Ligand	MATN1	MATN1
Ligand	MBL2	MBL2
Ligand	MDK	MDK
Ligand	MEPE	MEPE
Ligand	MFAP2	MFAP2
Ligand	MFAP5	MFAP5
Ligand	MFGE8	MFGE8
Ligand	MFNG	MFNG
Ligand	MIA	MIA
Ligand	MLLT4	MLLT4
Ligand	MLN	MLN
Ligand	MMP1	MMP1
Ligand	MMP12	MMP12
Ligand	MMP13	MMP13
Ligand	MMP2	MMP2
Ligand	MMP7	MMP7
Ligand	MMP9	MMP9
Ligand	MST1	MST1
Ligand	MSTN	MSTN
Ligand	MUC2	MUC2
Ligand	MUC7	MUC7
Ligand	MYOC	MYOC
Ligand	NAMPT	NAMPT
Ligand	NCAM1	NCAM1
Ligand	NDP	NDP
Ligand	NGF	NGF
Ligand	NID1	NID1
Ligand	NID2	NID2
Ligand	NLGN1	NLGN1
Ligand	NLGN2	NLGN2
Ligand	NLGN3	NLGN3
Ligand	NMB	NMB
Ligand	NMS	NMS
Ligand	NMU	NMU
Ligand	NODAL	NODAL
Ligand	NOV	NOV
Ligand	NPB	NPB
Ligand	NPFF	NPFF
Ligand	NPNT	NPNT
Ligand	NPPA	NPPA
Ligand	NPPB	NPPB
Ligand	NPPC	NPPC
Ligand	NPS	NPS
Ligand	NPVF	NPVF
Ligand	NPW	NPW
Ligand	NPY	NPY
Ligand	NRG1	NRG1
Ligand	NRG2	NRG2
Ligand	NRG3	NRG3
Ligand	NRG4	NRG4
Ligand	NRTN	NRTN
Ligand	NTF3	NTF3
Ligand	NTF4	NTF4
Ligand	NTN1	NTN1
Ligand	NTN3	NTN3
Ligand	NTN4	NTN4
Ligand	NTNG1	NTNG1
Ligand	NTNG2	NTNG2
Ligand	NTS	NTS
Ligand	NXPH1	NXPH1
Ligand	NXPH2	NXPH2
Ligand	NXPH3	NXPH3
Ligand	OBP2A	OBP2A
Ligand	OLFM2	OLFM2
Ligand	OMG	OMG
Ligand	ORM1	ORM1
Ligand	OSM	OSM
Ligand	OSTN	OSTN
Ligand	OXT	OXT
Ligand	PCSK9	PCSK9
Ligand	PDAP1	PDAP1
Ligand	PDCD1LG2	PDCD1LG2 (PD-L2, CD273, B7-DC)
Ligand	PDGFA	PDGFA
Ligand	PDGFB	PDGFB
Ligand	PDGFC	PDGFC
Ligand	PDGFD	PDGFD
Ligand	PDYN	PDYN
Ligand	PENK	PENK
Ligand	PF4	PF4
Ligand	PGF	PGF
Ligand	PIGF	PIGF
Ligand	PIP	PIP
Ligand	PLA2G10	PLA2G10
Ligand	PLAT	PLAT
Ligand	PLAU	PLAU
Ligand	PLG	PLG
Ligand	PLTP	PLTP
Ligand	PMCH	PMCH
Ligand	PNOC	PNOC
Ligand	PODXL	PODXL
Ligand	PODXL2	PODXL2
Ligand	POMC	POMC
Ligand	PON2	PON2
Ligand	PPBP	PPBP
Ligand	PPY	PPY
Ligand	PRL	PRL
Ligand	PRLH	PRLH
Ligand	PRND	PRND
Ligand	PROC	PROC
Ligand	PROK1	PROK1
Ligand	PROK2	PROK2
Ligand	PROS1	PROS1
Ligand	PRSS23	PRSS23
Ligand	PSAP	PSAP
Ligand	PSEN1	PSEN1
Ligand	PSPN	PSPN
Ligand	PTDSS1	PTDSS1
Ligand	PTGS2	PTGS2
Ligand	PTH	PTH
Ligand	PTH2	PTH2
Ligand	PTHLH	PTHLH
Ligand	PTMA	PTMA
Ligand	PTN	PTN
Ligand	PVR	PVR
Ligand	PYY	PYY
Ligand	QRFP	QRFP
Ligand	RAET1E	RAET1E
Ligand	RARRES2	RARRES2
Ligand	RBP3	RBP3
Ligand	RBP4	RBP4
Ligand	RELN	RELN
Ligand	REN	REN
Ligand	RGMA	RGMA
Ligand	RGMB	RGMB
Ligand	RIMS1	RIMS1
Ligand	RIMS2	RIMS2
Ligand	RLN1	RLN1
Ligand	RLN2	RLN2
Ligand	RLN3	RLN3
Ligand	RNASE2	RNASE2
Ligand	RPH3A	RPH3A
Ligand	RPS19	RPS19
Ligand	RSPO1	RSPO1
Ligand	RSPO2	RSPO2
Ligand	RSPO3	RSPO3
Ligand	RSPO4	RSPO4
Ligand	RTN4	RTN4
Ligand	S100A8	S100A8
Ligand	S100A9	S100A9
Ligand	SAA1	SAA1
Ligand	SCGB1A1	SCGB1A1
Ligand	SCGB3A1	SCGB3A1
Ligand	SCGB3A2	SCGB3A2
Ligand	SCT	SCT
Ligand	SELPLG	SELPLG
Ligand	SEMA3A	SEMA3A
Ligand	SEMA3B	SEMA3B
Ligand	SEMA3C	SEMA3C
Ligand	SEMA3D	SEMA3D
Ligand	SEMA3E	SEMA3E
Ligand	SEMA3F	SEMA3F
Ligand	SEMA3G	SEMA3G
Ligand	SEMA4A	SEMA4A
Ligand	SEMA4B	SEMA4B
Ligand	SEMA4C	SEMA4C
Ligand	SEMA4D	SEMA4D
Ligand	SEMA4F	SEMA4F
Ligand	SEMA4G	SEMA4G
Ligand	SEMA5A	SEMA5A
Ligand	SEMA6A	SEMA6A
Ligand	SEMA6D	SEMA6D
Ligand	SEMA7A	SEMA7A
Ligand	SERPINA1	SERPINA1
Ligand	SERPINA7	SERPINA7
Ligand	SERPINC1	SERPINC1
Ligand	SERPINE1	SERPINE1
Ligand	SERPINE2	SERPINE2
Ligand	SERPING1	SERPING1
Ligand	SFRP1	SFRP1
Ligand	SFTPA1	SFTPA1
Ligand	SFTPA2	SFTPA2
Ligand	SHANK1	SHANK1
Ligand	SHBG	SHBG
Ligand	SHH	SHH
Ligand	SLIT1	SLIT1
Ligand	SLIT2	SLIT2
Ligand	SLIT3	SLIT3
Ligand	SORBS1	SORBS1
Ligand	SOST	SOST
Ligand	SPINK1	SPINK1
Ligand	SPINT1	SPINT1
Ligand	SPP1	SPP1
Ligand	SST	SST
Ligand	SYTL3	SYTL3
Ligand	TAC1	TAC1
Ligand	TAC3	TAC3
Ligand	TAC4	TAC4
Ligand	TCTN1	TCTN1
Ligand	TDGF1	TDGF1
Ligand	TF	TF
Ligand	TFPI	TFPI
Ligand	TG	TG
Ligand	TGFA	TGFA
Ligand	TGFB1	TGFB1
Ligand	TGFB2	TGFB2
Ligand	TGFB3	TGFB3
Ligand	TGM2	TGM2
Ligand	THBS1	THBS1
Ligand	THBS2	THBS2
Ligand	THPO	THPO
Ligand	TIMP1	TIMP1
Ligand	TIMP2	TIMP2
Ligand	TIMP3	TIMP3
Ligand	TNC	TNC
Ligand	TNF	TNFA
Ligand	TNFSF10	TNFSF10
Ligand	TNFSF11	TNFSF11
Ligand	TNFSF12	TNFSF12
Ligand	TNFSF13	TNFSF13
Ligand	TNFSF13B	TNFSF13B
Ligand	TNFSF14	TNFSF14
Ligand	TNFSF15	TNFSF15
Ligand	TNFSF18	TNFSF18
Ligand	TNFSF4	TNFSF4 (OX40L)
Ligand	TNFSF8	TNFSF8
Ligand	TNFSF9	TNFSF9 (CD137L, 4-1BB-L)
Ligand	TRH	TRH
Ligand	TSHB	TSHB
Ligand	TSLP	TSLP
Ligand	UCN	UCN
Ligand	UCN2	UCN2
Ligand	UCN3	UCN3
Ligand	ULBP2	ULBP2
Ligand	UTS2	UTS2
Ligand	UTS2B	UTS2B
Ligand	VASP	VASP
Ligand	VCAM1	VCAM1
Ligand	VCAN	VCAN
Ligand	VEGFA	VEGFA
Ligand	VEGFB	VEGFB
Ligand	VEGFC	VEGFC
Ligand	VIM	VIM
Ligand	VIP	VIP
Ligand	VTN	VTN
Ligand	VWF	VWF
Ligand	WNT1	WNT1
Ligand	WNT11	WNT11
Ligand	WNT2	WNT2
Ligand	WNT3	WNT3
Ligand	WNT3A	WNT3A
Ligand	WNT4	WNT4
Ligand	WNT5A	WNT5A
Ligand	WNT7A	WNT7A
Ligand	WNT7B	WNT7B
Ligand	XCL1	XCL1
Ligand	XCL2	XCL2
Ligand	YARS	YARS
Ligand	ZG16B	ZG16B
Ligand	ZP3	ZP3
Receptor	ABCA1	ABCA1
Receptor	ACKR2	ACKR2
Receptor	ACKR3	ACKR3
Receptor	ACKR4	ACKR4
Receptor	ACVR1	ACVR1
Receptor	ACVR1B	ACVR1B
Receptor	ACVR1C	ACVR1C
Receptor	ACVR2A	ACVR2A
Receptor	ACVR2B	ACVR2B
Receptor	ACVRL1	ACVRL1
Receptor	ADCY1	ADCY1
